region,year,poverty_change_3y,poverty_t0,gdp_growth,unemployment_rate,typhoon_count,flood_count,earthquake_count,total_deaths,total_affected,total_damages,severe_event,haiyan_dummy,coastal
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM) including Cotabato City,2018,-24.800000000000004,67.2,6.34148557153473,2.338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM) including Cotabato City,2021,-2.299999999999997,42.4,5.71473313185116,3.398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Cordillera Administrative Region (CAR),2018,-2.8000000000000007,16.5,6.34148557153473,2.338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Cordillera Administrative Region (CAR),2021,-3.5,13.7,5.71473313185116,3.398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
MIMAROPA Region,2018,8.5,21.0,6.34148557153473,2.338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
MIMAROPA Region,2021,3.5,29.5,5.71473313185116,3.398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
National Capital Region (NCR),2018,2.0,4.3,6.34148557153473,2.338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
National Capital Region (NCR),2021,-2.6999999999999997,6.3,5.71473313185116,3.398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Negros Island Region (NIR),2018,4.0,29.4,6.34148557153473,2.338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Negros Island Region (NIR),2021,7.300000000000004,33.4,5.71473313185116,3.398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Region I (Ilocos Region),2018,6.099999999999998,15.3,6.34148557153473,2.338,1.0,0.0,0.0,84.0,3800138.0,32033.0,0.0,0.0,1
Region I (Ilocos Region),2021,-1.7999999999999972,21.4,5.71473313185116,3.398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Region II (Cagayan Valley),2018,-1.6000000000000014,23.0,6.34148557153473,2.338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Region II (Cagayan Valley),2021,-5.799999999999999,21.4,5.71473313185116,3.398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Region III (Central Luzon),2018,6.800000000000001,11.2,6.34148557153473,2.338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Region III (Central Luzon),2021,-4.5,18.0,5.71473313185116,3.398,0.0,1.0,0.0,2.0,38160.0,25000.0,0.0,0.0,1
Region IV-A (CALABARZON),2018,4.999999999999998,11.4,6.34148557153473,2.338,1.0,0.0,0.0,5.0,1709511.0,19000.0,0.0,0.0,1
Region IV-A (CALABARZON),2021,-2.9999999999999982,16.4,5.71473313185116,3.398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Region IX (Zamboanga Peninsula),2018,-1.7999999999999972,39.9,6.34148557153473,2.338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Region IX (Zamboanga Peninsula),2021,1.7999999999999972,38.1,5.71473313185116,3.398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Region V (Bicol Region),2018,4.5,35.4,6.34148557153473,2.338,0.0,0.0,0.0,0.0,86056.0,3564.0,0.0,0.0,1
Region V (Bicol Region),2021,-2.0,39.9,5.71473313185116,3.398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Region VI (Western Visayas),2018,4.5,20.6,6.34148557153473,2.338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Region VI (Western Visayas),2021,-3.900000000000002,25.1,5.71473313185116,3.398,1.0,0.0,0.0,3.0,8048.0,240.0,0.0,0.0,1
Region VII (Central Visayas),2018,14.299999999999995,22.6,6.34148557153473,2.338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Region VII (Central Visayas),2021,-11.2,36.9,5.71473313185116,3.398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Region VIII Eastern Visayas),2018,-1.0,40.0,6.34148557153473,2.338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Region VIII Eastern Visayas),2021,-1.2999999999999972,39.0,5.71473313185116,3.398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Region X (Northern Mindanao),2018,4.0,31.6,6.34148557153473,2.338,0.0,1.0,0.0,11.0,180000.0,0.0,0.0,0.0,1
Region X (Northern Mindanao),2021,-0.6000000000000014,35.6,5.71473313185116,3.398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Region XI (Davao Region),2018,-2.6999999999999993,26.9,6.34148557153473,2.338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Region XI (Davao Region),2021,0.0,24.2,5.71473313185116,3.398,0.0,2.0,0.0,0.0,27446.0,0.0,0.0,0.0,1
Region XIII (Caraga),2018,4.300000000000004,39.8,6.34148557153473,2.338,2.0,0.0,0.0,3.0,338776.0,15362.0,0.0,0.0,1
Region XIII (Caraga),2021,-14.900000000000002,44.1,5.71473313185116,3.398,4.0,0.0,0.0,530.0,12036988.0,1013995.0,1.0,0.0,1
"excluding Cotabato City""",2018,1.8999999999999984,35.0,6.34148557153473,2.338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
"excluding Cotabato City""",2021,-4.799999999999997,36.9,5.71473313185116,3.398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
