region,year,poverty_children
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM) including Cotabato City,2018,67.2
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM) including Cotabato City,2021,42.4
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM) including Cotabato City,2023,40.1
Cordillera Administrative Region (CAR),2018,16.5
Cordillera Administrative Region (CAR),2021,13.7
Cordillera Administrative Region (CAR),2023,10.2
MIMAROPA Region,2018,21.0
MIMAROPA Region,2021,29.5
MIMAROPA Region,2023,33.0
National Capital Region (NCR),2018,4.3
National Capital Region (NCR),2021,6.3
National Capital Region (NCR),2023,3.6
Negros Island Region (NIR),2018,29.4
Negros Island Region (NIR),2021,33.4
Negros Island Region (NIR),2023,40.7
Region I (Ilocos Region),2018,15.3
Region I (Ilocos Region),2021,21.4
Region I (Ilocos Region),2023,19.6
Region II (Cagayan Valley),2018,23.0
Region II (Cagayan Valley),2021,21.4
Region II (Cagayan Valley),2023,15.6
Region III (Central Luzon),2018,11.2
Region III (Central Luzon),2021,18.0
Region III (Central Luzon),2023,13.5
Region IV-A (CALABARZON),2018,11.4
Region IV-A (CALABARZON),2021,16.4
Region IV-A (CALABARZON),2023,13.4
Region IX (Zamboanga Peninsula),2018,39.9
Region IX (Zamboanga Peninsula),2021,38.1
Region IX (Zamboanga Peninsula),2023,39.9
Region V (Bicol Region),2018,35.4
Region V (Bicol Region),2021,39.9
Region V (Bicol Region),2023,37.9
Region VI (Western Visayas),2018,20.6
Region VI (Western Visayas),2021,25.1
Region VI (Western Visayas),2023,21.2
Region VII (Central Visayas),2018,22.6
Region VII (Central Visayas),2021,36.9
Region VII (Central Visayas),2023,25.7
Region VIII Eastern Visayas),2018,40.0
Region VIII Eastern Visayas),2021,39.0
Region VIII Eastern Visayas),2023,37.7
Region X (Northern Mindanao),2018,31.6
Region X (Northern Mindanao),2021,35.6
Region X (Northern Mindanao),2023,35.0
Region XI (Davao Region),2018,26.9
Region XI (Davao Region),2021,24.2
Region XI (Davao Region),2023,24.2
Region XIII (Caraga),2018,39.8
Region XIII (Caraga),2021,44.1
Region XIII (Caraga),2023,29.2
"excluding Cotabato City""",2018,35.0
"excluding Cotabato City""",2021,36.9
"excluding Cotabato City""",2023,32.1
