Country Name,Country Code,Indicator Name,year,unemployment_rate
Philippines,PHL,"Chômage, total (% de la population) (estimation modélisée OIT)",2004,3.554
Philippines,PHL,"Chômage, total (% de la population) (estimation modélisée OIT)",2005,3.795
Philippines,PHL,"Chômage, total (% de la population) (estimation modélisée OIT)",2006,4.052
Philippines,PHL,"Chômage, total (% de la population) (estimation modélisée OIT)",2007,3.434
Philippines,PHL,"Chômage, total (% de la population) (estimation modélisée OIT)",2008,3.72
Philippines,PHL,"Chômage, total (% de la population) (estimation modélisée OIT)",2009,3.858
Philippines,PHL,"Chômage, total (% de la population) (estimation modélisée OIT)",2010,3.605
Philippines,PHL,"Chômage, total (% de la population) (estimation modélisée OIT)",2011,3.592
Philippines,PHL,"Chômage, total (% de la population) (estimation modélisée OIT)",2012,3.504
Philippines,PHL,"Chômage, total (% de la population) (estimation modélisée OIT)",2013,3.497
Philippines,PHL,"Chômage, total (% de la population) (estimation modélisée OIT)",2014,3.6
Philippines,PHL,"Chômage, total (% de la population) (estimation modélisée OIT)",2015,3.068
Philippines,PHL,"Chômage, total (% de la population) (estimation modélisée OIT)",2016,2.695
Philippines,PHL,"Chômage, total (% de la population) (estimation modélisée OIT)",2017,2.552
Philippines,PHL,"Chômage, total (% de la population) (estimation modélisée OIT)",2018,2.338
Philippines,PHL,"Chômage, total (% de la population) (estimation modélisée OIT)",2019,2.237
Philippines,PHL,"Chômage, total (% de la population) (estimation modélisée OIT)",2020,2.522
Philippines,PHL,"Chômage, total (% de la population) (estimation modélisée OIT)",2021,3.398
Philippines,PHL,"Chômage, total (% de la population) (estimation modélisée OIT)",2022,2.598
Philippines,PHL,"Chômage, total (% de la population) (estimation modélisée OIT)",2023,2.222
Philippines,PHL,"Chômage, total (% de la population) (estimation modélisée OIT)",2024,2.153
